OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,x,y
77,2c63b783-efcb-4aa7-ad8d-f9b5486436f0,Boat,,Demersal,Bait,07:00,11:30,60,29,15,1,"Harlequin, western blue devil, cuttlefish, black ass, queen snapper",BagLimit,,34c83b2a-f37f-4bff-8eb9-4f021c4c24b8,2/19/2022 5:33:19 AM,Nicole.Hamre_UWA,2/19/2022 5:33:19 AM,Nicole.Hamre_UWA,,122.244547476157,-34.1633939343294
78,7ad0b93e-4ba7-486f-b539-40142d477788,Boat,,Casting,Bait,07:00,12:30,55,10,5,0,"Nanneguie, break sea cod, blue grouper, queeny ",Weather,,641be7ac-5da2-40a8-a075-06c468818c00,2/19/2022 5:40:21 AM,Nicole.Hamre_UWA,2/19/2022 5:40:21 AM,Nicole.Hamre_UWA,,121.989951753539,-34.1207957681094
79,c567f82a-55d0-4314-85ee-560d20d3ad5a,Boat,,Demersal,Bait,08:30,13:00,25,8,0,0,"Black ass cod, harlequin, salmon",Weather,,3e50b82e-cac9-4b05-9a53-164a647be3db,2/19/2022 6:20:39 AM,Nicole.Hamre_UWA,2/19/2022 6:20:39 AM,Nicole.Hamre_UWA,,121.676358121811,-34.0090171108147
80,dcf47047-6c74-4e58-9e25-dfbb783e3919,Boat,,Demersal,Both,06:30,14:00,65,9,12,0,"Nanniguie, gummy shark, black ass, ",Weather,,88d9dd83-9064-45de-a9ae-5cd019ef96c7,2/19/2022 7:04:33 AM,Nicole.Hamre_UWA,2/19/2022 7:04:33 AM,Nicole.Hamre_UWA,Conditions,122.233677217128,-34.2468074095418
81,76ddcb46-0c4e-4441-bd9e-3d890a74d6e6,Boat,,Casting,Lure,08:00,09:55,0,24,100,0,Herring,EndOfDay,,fc7b9398-3e40-46b4-8894-3d321d50b3b9,2/22/2022 1:58:11 AM,Nicole.Hamre_UWA,2/22/2022 1:58:11 AM,Nicole.Hamre_UWA,,121.902528916526,-33.8532964240394
82,15590a95-c762-42b4-8e38-6f479473bd1e,Boat,2/22/2022 3:43:57 AM,Cray,NA,10:40,11:10,26,10,0,0,Abalone,BagLimit,Scuba diving,5160b5dd-2842-4cc8-8721-deec50860fae,2/22/2022 3:44:53 AM,Nicole.Hamre_UWA,2/22/2022 3:51:20 AM,Nicole.Hamre_UWA,,121.901858942208,-33.9254288679162
83,15590a95-c762-42b4-8e38-6f479473bd1e,Boat,2/19/2022 3:51:30 AM,Cray,NA,09:00,09:39,29,2,0,0,Cray,Other,"No air, scuba diving",98018f20-4c01-43d6-a007-443a168388b7,2/22/2022 3:46:27 AM,Nicole.Hamre_UWA,2/22/2022 3:52:29 AM,Nicole.Hamre_UWA,,122.22561431104,-33.9922200531184
84,15590a95-c762-42b4-8e38-6f479473bd1e,Boat,2/19/2022 3:52:48 AM,Cray,NA,11:00,11:30,24,4,0,0,"4 abalone, 1 cray",Other,"No air, scuba diving",95a399a8-272a-43ef-8786-8478be7d293c,2/22/2022 3:47:21 AM,Nicole.Hamre_UWA,2/22/2022 3:55:51 AM,Nicole.Hamre_UWA,,122.227685148755,-33.9901177127873
85,1ad75c2b-5aaf-47dd-a8cc-2c8069b590d2,Boat,,Demersal,Bait,08:30,12:00,45,5,2,0,"Blue morwong, breaksea cod, blue devil",EndOfDay,,8a478cfb-3cea-4bbc-af50-17664b89238a,2/22/2022 4:19:05 AM,Nicole.Hamre_UWA,2/22/2022 4:19:05 AM,Nicole.Hamre_UWA,,121.87663777851,-33.9280215239494
86,175d1c3c-38b0-4ae7-a973-9af6e2eb2509,Boat,,Demersal,Bait,07:00,09:45,50,1,2,0,Blue fin tuna,ActivityChange,,c3b46cdc-2fa2-4771-a3da-6c1784422d12,2/26/2022 1:55:39 AM,Nicole.Hamre_UWA,2/26/2022 1:55:39 AM,Nicole.Hamre_UWA,Conditions,121.859800253593,-33.8913999302527
87,bba0a9bd-5d4d-4e86-bc35-7ac22f1c0ec8,Boat,2/17/2022 2:13:36 AM,Trolling,Lure,07:00,10:00,30,1,0,0,Snook ,EndOfDay,,75fb2b7d-16b8-40e0-8bee-ea8430c590f1,2/17/2022 2:14:16 AM,Nicole.Hamre_UWA,2/17/2022 2:14:16 AM,Nicole.Hamre_UWA,,121.912876722573,-33.9157347334301
88,1adcb2a0-ecb1-47df-b8d0-a777e6de2176,Boat,2/17/2022 2:17:38 AM,Demersal,Both,05:00,09:00,50,10,10,0,"Nannygui, break sea cod, harlequin, break sea, swallow rail, queen snapper",EndOfDay,Too many octopus traps and marine debri ,79b82226-8d19-4575-86a9-c54a049e61bb,2/17/2022 2:20:11 AM,Nicole.Hamre_UWA,2/17/2022 2:20:11 AM,Nicole.Hamre_UWA,Other,121.97304738588,-33.9242098449453
89,04176d5c-585d-4a82-a942-f3c8dddf0890,Boat,2/17/2022 2:24:40 AM,Casting,Lure,08:00,10:00,11,0,20,0,Herring,Weather,,378172e1-9e41-493b-9fbd-5660584e4a8d,2/17/2022 2:25:33 AM,Nicole.Hamre_UWA,2/17/2022 2:25:33 AM,Nicole.Hamre_UWA,,121.955693878545,-33.8555228309262
90,e5379b65-1d61-4294-985a-65399a766c26,Boat,2/17/2022 3:45:41 AM,Casting,Both,06:30,11:30,13,26,12,0,"Herring, whiting, squid",Weather,,87efec95-f090-4412-8392-e08550ba0221,2/17/2022 3:47:30 AM,Nicole.Hamre_UWA,2/17/2022 3:47:30 AM,Nicole.Hamre_UWA,,122.029399892124,-33.9366275334383
91,fa64a3e7-2973-4381-914d-fcdffe228ab8,Boat,2/17/2022 3:52:26 AM,Casting,Both,08:00,11:30,8,4,3,0,Herring,Weather,,d2b909c5-6542-4b03-8b0b-899ba76128b2,2/17/2022 3:53:32 AM,Nicole.Hamre_UWA,2/17/2022 3:53:32 AM,Nicole.Hamre_UWA,,121.996375529779,-33.8353134633522
92,a1317a62-1007-43e4-b57b-6f082494e665,Boat,2/17/2022 4:45:39 AM,Casting,Lure,09:00,10:00,4,1,0,0,Squid,ActivityChange,,5e9169f7-2af6-48f9-ab47-0b23945b7b8a,2/17/2022 4:48:05 AM,Nicole.Hamre_UWA,2/17/2022 4:52:30 AM,Nicole.Hamre_UWA,,121.950602102649,-33.8437479533773
93,2242e510-eb13-4c0e-9000-9656a79ad96c,Boat,,Casting,Both,08:00,08:30,40,0,0,0,0,LowCatch,,e4ba5e67-70eb-4728-a0fa-ca805d28095f,2/17/2022 5:13:41 AM,Nicole.Hamre_UWA,2/17/2022 5:17:04 AM,Nicole.Hamre_UWA,,121.926797841768,-34.1357772461529
94,2242e510-eb13-4c0e-9000-9656a79ad96c,Boat,,Casting,Both,08:40,11:00,70,3,1,0,"Break sea cod, queen snapper ",Weather,,d7c911e8-c055-43bc-9771-54e0a9d4edcd,2/17/2022 5:15:15 AM,Nicole.Hamre_UWA,2/17/2022 5:15:15 AM,Nicole.Hamre_UWA,,121.82813163676,-34.2516343854631
95,00ebd7d6-c03f-43aa-ae64-1fe5ab20fcff,Boat,,Casting,Both,07:30,09:20,20,2,5,0,"Herring, black arse, flatly",ActivityChange,,00c8e5b7-af53-403d-9a86-7ada1bc03634,2/18/2022 1:41:23 AM,Nicole.Hamre_UWA,2/18/2022 1:41:23 AM,Nicole.Hamre_UWA,,121.949034742802,-33.8638690257964
96,a275649f-2910-4fa3-abd1-778727ac2efc,Boat,,Casting,Bait,07:30,11:00,30,0,0,0,,Weather,"Checking out the artificial reef, but no luck with catching anything ",71b2e38c-948d-43d0-a354-f5f69ac08f10,2/18/2022 3:14:38 AM,Nicole.Hamre_UWA,2/18/2022 3:17:05 AM,Nicole.Hamre_UWA,,121.989716440749,-33.9024671036727
97,cafab483-d30b-4a36-8873-84384ed691c1,Boat,,Casting,Bait,08:00,11:00,70,15,6,0,"Red snapper, black ass, break sea cod, queeny, ",Weather,,adb2a7a7-89b6-4952-962e-78d6662ed830,2/18/2022 4:47:08 AM,Nicole.Hamre_UWA,2/18/2022 4:47:08 AM,Nicole.Hamre_UWA,,122.107096518639,-34.1985083163575
98,e8769595-a7cf-4616-b37c-fceb5542f34a,Boat,,Trolling,Lure,08:00,10:00,0,5,1,0,Herring,Weather,Saw pod dolphin - not direct conflict but worried about getting in way off sailing club,a3efd9ac-1c48-4235-b698-9ba75d25548a,2/19/2022 2:33:24 AM,Nicole.Hamre_UWA,2/19/2022 2:37:07 AM,Nicole.Hamre_UWA,ConflictDifferent,121.914762261202,-33.8629952704877
99,4da40b00-6cd5-4896-aea9-ae5dd656ecdc,Boat,,Casting,Bait,09:46,10:30,8,0,0,0,,EndOfDay,,9961e7ab-1014-4d0f-904f-2255b04c523d,2/19/2022 2:44:03 AM,Nicole.Hamre_UWA,2/19/2022 2:44:03 AM,Nicole.Hamre_UWA,,121.898810454494,-33.8644506272708
100,82356359-03c8-4040-9730-e90cdfb90f38,Boat,,Demersal,Bait,06:00,09:30,20,2,6,0,"Samson, queen snapper,",EndOfDay,,8b843165-4a33-4dd8-97be-c38ffed4b46c,2/19/2022 3:24:16 AM,Nicole.Hamre_UWA,2/19/2022 3:24:16 AM,Nicole.Hamre_UWA,,121.863847258271,-33.9239095290822
101,05a82126-6c04-46d6-8c92-aebbb78f2a8b,Boat,2/19/2022 3:28:01 AM,Demersal,Bait,09:00,11:00,24,0,0,0,,ActivityChange,,e74d86ed-4c42-4179-8790-c180e0276549,2/19/2022 3:29:06 AM,Nicole.Hamre_UWA,2/19/2022 3:29:06 AM,Nicole.Hamre_UWA,,121.895356805027,-33.8812865468637
102,e2c71f7c-ed3b-4b6c-a4dd-23495340d369,Boat,,Demersal,Bait,07:00,08:00,60,2,0,0,"Swallow tail, nannygui",LowCatch,,4e21f92f-3ca1-498e-8262-245cdd2fa0c0,2/19/2022 4:10:25 AM,Nicole.Hamre_UWA,2/19/2022 5:04:10 AM,Nicole.Hamre_UWA,,121.93638070091,-34.1384036131576
103,03725eb2-3931-4f63-aa4f-7b85b962b03e,Boat,,Demersal,Bait,10:00,11:00,40,2,0,0,"Nannagui, black arse",ActivityChange,,f3bf78d3-d558-4609-9e90-994c4bdf2669,2/19/2022 4:31:32 AM,Nicole.Hamre_UWA,2/19/2022 4:31:32 AM,Nicole.Hamre_UWA,,122.01131530437,-33.9713020280841
104,03725eb2-3931-4f63-aa4f-7b85b962b03e,Boat,,Trolling,Lure,11:20,11:45,0,0,0,0,,ActivityChange,Between woody and cull island,80350577-9f53-4b21-862e-0522da7286bf,2/19/2022 4:32:25 AM,Nicole.Hamre_UWA,2/19/2022 7:03:14 AM,Nicole.Hamre_UWA,,121.952538066409,-33.9456512403989
105,03725eb2-3931-4f63-aa4f-7b85b962b03e,Boat,,Casting,Lure,12:00,12:15,0,5,0,0,Herring,Weather,,6c564de3-06ee-44b3-9636-ef698931438f,2/19/2022 4:33:17 AM,Nicole.Hamre_UWA,2/19/2022 4:33:17 AM,Nicole.Hamre_UWA,,121.905655508262,-33.9143667756437
106,8e74fb7b-1697-45ff-99e2-a74617ea22ce,Boat,,Demersal,Bait,07:30,12:00,40,25,15,0,"Nannagui, queen snapper, sweep, queenie",Other,Motor problem,9d10463b-8dd4-4dc3-9b70-94f586a916c2,2/19/2022 5:30:40 AM,Nicole.Hamre_UWA,2/19/2022 5:30:40 AM,Nicole.Hamre_UWA,Other,121.983862497335,-34.1127653266187
107,08f70467-6c0b-4af2-bc5e-a892ab8a700d,Boat,,Demersal,Bait,08:00,12:30,20,13,6,0,"Whiting, herring",EndOfDay,Too hot,21f282fe-afdc-4645-9ed7-593d2cf62b25,2/19/2022 5:42:20 AM,Nicole.Hamre_UWA,2/19/2022 5:42:20 AM,Nicole.Hamre_UWA,Safety,121.806719750279,-33.9193448027645
108,cc6c0986-c741-4f81-8a96-1b78bf3d6e51,Boat,,Demersal,Bait,07:30,09:00,40,7,3,0,"Queen snapper, break sea cod",LowCatch,,adaa7d8c-809d-4a7f-8a61-be6570cc545e,2/19/2022 5:55:40 AM,Nicole.Hamre_UWA,2/19/2022 5:55:40 AM,Nicole.Hamre_UWA,,121.770110287093,-33.9544532594134
109,cc6c0986-c741-4f81-8a96-1b78bf3d6e51,Boat,,Demersal,Bait,10:00,10:00,40,0,0,0,,LowCatch,,fdb4d11d-0922-4db2-b2e8-daf836d1ce72,2/19/2022 5:56:35 AM,Nicole.Hamre_UWA,2/19/2022 5:56:35 AM,Nicole.Hamre_UWA,,121.882036916574,-34.0473175907079
110,3c09cff3-29fc-4311-99d5-7185c3a16a96,Boat,,Demersal,Both,07:30,13:00,76,3,2,0,Break sea,EndOfDay,,d032ee70-7ad8-482a-b2b4-f901c9a43c69,2/19/2022 6:16:41 AM,Nicole.Hamre_UWA,2/19/2022 6:16:41 AM,Nicole.Hamre_UWA,,122.024640016776,-34.4321807377211
111,d2d03996-faca-47e5-a2ee-0dfa613c95ef,Boat,,Demersal,Both,06:45,12:00,80,45,25,0,"Nannagui, breaksea, yellowtail king fish, queeni fish, sansom fish",EndOfDay,Bagged out on nannygui and kingfish ,a26d4b08-1908-47c4-9e48-433aed910519,2/19/2022 6:32:39 AM,Nicole.Hamre_UWA,2/19/2022 6:37:57 AM,Nicole.Hamre_UWA,,121.952469339002,-34.4488695741258
112,3a5f1a2b-9ccd-4c77-b7b5-2ffb891a1601,Boat,,Demersal,Bait,08:30,13:30,60,70,20,1,"Blackwater, nannagui, Samson, duh fish",EndOfDay,,d827ad34-ee13-41d4-ad8c-f207fe4894dc,2/19/2022 6:51:08 AM,Nicole.Hamre_UWA,2/19/2022 6:54:28 AM,Nicole.Hamre_UWA,,121.978287440392,-34.4701541301251
113,49e1e9cb-9b9b-47c2-ba99-33679c1094ee,Boat,,Casting,Bait,10:30,11:45,12,10,5,0,Whiting,Weather,,cecaf479-c725-4add-bdb1-4270ac64973d,2/22/2022 4:05:20 AM,Nicole.Hamre_UWA,2/22/2022 4:05:20 AM,Nicole.Hamre_UWA,,121.854989103307,-33.8886857709626
114,8111a384-2bf9-4c4a-9b1e-abab8c98f4d7,Boat,,Casting,Lure,20:00,11:45,9,0,0,0,,Weather,"Too many bouys, ",20661b49-a9f2-4750-b19b-6a29cbe2425d,2/22/2022 4:10:04 AM,Nicole.Hamre_UWA,2/22/2022 4:10:04 AM,Nicole.Hamre_UWA,Safety,121.942497548868,-33.8695020466854
115,c9d6c970-69c5-4d98-b565-d07085adcfbd,Boat,,Casting,Bait,06:00,09:00,70,27,14,0,"Nannygui, break ",BagLimit,Too many octopus pots ,3888f305-9c1e-4bca-a4fc-65b070fc1ffd,2/22/2022 4:15:24 AM,Nicole.Hamre_UWA,2/22/2022 4:15:24 AM,Nicole.Hamre_UWA,Safety,122.093112202964,-34.1797535438884
116,1329c3a8-8bc5-4ae3-a9b5-deb11cb5d8b4,Boat,2/22/2022 5:29:01 AM,Demersal,Bait,06:30,11:30,50,14,6,0,"Nannagui, queen snapper, black arse, harlequin ",Weather,,656b3b33-9028-4412-afe0-37d46c968d49,2/22/2022 5:30:37 AM,Nicole.Hamre_UWA,2/22/2022 5:30:37 AM,Nicole.Hamre_UWA,,121.669028711712,-34.1746964797865
117,587038c5-3b90-4e50-a999-a0fc76affc7a,Boat,,Trolling,Lure,09:30,12:30,30,0,0,0,,Weather,,4a12dac8-4eb6-4899-8f6c-a86eea18de17,2/22/2022 5:51:02 AM,Nicole.Hamre_UWA,2/22/2022 5:51:02 AM,Nicole.Hamre_UWA,,121.902322220468,-33.9185661819637
118,587038c5-3b90-4e50-a999-a0fc76affc7a,Boat,,Casting,Bait,11:30,13:30,9,8,4,0,"King George, herring ",EndOfDay,,918cbc2c-b627-451b-9558-3c987be938dd,2/22/2022 5:52:35 AM,Nicole.Hamre_UWA,2/22/2022 5:52:35 AM,Nicole.Hamre_UWA,,121.930558822859,-33.8524904259922
119,ca992115-75a7-4a71-9f7d-0fe33b578681,Boat,,Demersal,Bait,06:00,11:00,45,15,3,0,"Nannagui even, harlequin, queen snapper, swallowtail, ",EndOfDay,,f067a340-31a6-42c3-8872-a3eef12940ea,2/22/2022 6:09:42 AM,Nicole.Hamre_UWA,2/22/2022 6:09:42 AM,Nicole.Hamre_UWA,,121.776679382899,-34.132818097155
120,4ebfe7ef-b690-4de7-9e0c-c2bbb1ba1825,Boat,,Casting,Both,10:30,13:00,30,4,5,0,"Black ass, fox fish, ",LowCatch,,ce5cc871-76b6-4510-b1aa-5b9d5060ec06,2/22/2022 6:24:16 AM,Nicole.Hamre_UWA,2/22/2022 6:24:16 AM,Nicole.Hamre_UWA,,122.00163457288,-34.0367794180525
121,500d4e4a-ff0b-409f-8611-45cd731b7efe,Boat,,Casting,Bait,07:00,10:15,20,24,24,0,"Whiting, squid",ActivityChange,,e7ee4522-1c2b-4d50-91fa-69d9258503b2,2/16/2022 2:43:58 AM,Nicole.Hamre_UWA,2/16/2022 2:43:58 AM,Nicole.Hamre_UWA,,121.843616725559,-33.8886674234712
122,bba4a32c-e66a-4526-aac6-308d754f0fe0,Boat,,Casting,Bait,07:30,11:0,3,7,5,0,Herring,Weather,,85a3fc0c-0ea3-4797-af65-8397faaec0ee,2/16/2022 3:19:33 AM,Nicole.Hamre_UWA,2/16/2022 3:19:33 AM,Nicole.Hamre_UWA,,121.923587161433,-33.8486593136376
123,d560306f-cdd5-4496-b846-ca6c9efd9fad,Boat,2/16/2022 3:34:27 AM,Casting,Bait,09:00,10:30,8,0,6,0,Herring,Weather,,ea9af9c4-272a-4154-a0a4-9abdbb0dc51c,2/16/2022 3:39:16 AM,Nicole.Hamre_UWA,2/16/2022 3:39:16 AM,Nicole.Hamre_UWA,,121.931845248974,-33.8647860422777
124,f5deb850-9c45-49ed-ba4f-68861d2d8004,Boat,2/16/2022 3:51:23 AM,Casting,Both,06:00,10:30,5,9,2,0,"Herring, squid",Weather,,1710a72d-1a9f-44e5-a26e-7cda8368dd83,2/16/2022 3:52:59 AM,Nicole.Hamre_UWA,2/16/2022 3:52:59 AM,Nicole.Hamre_UWA,,121.964546836756,-33.8568836639643
125,a53d7962-02a9-4e66-b64a-d9ec17107611,Boat,2/16/2022 3:56:31 AM,Squidding,Lure,09:30,09:45,18,0,0,0,,Weather,,2314ced0-e925-4b3f-957d-3a575a8c9c90,2/16/2022 3:57:38 AM,Nicole.Hamre_UWA,2/16/2022 3:57:38 AM,Nicole.Hamre_UWA,,121.912387327593,-33.88708279279
126,a53d7962-02a9-4e66-b64a-d9ec17107611,Boat,,Casting,Lure,09:50,11:30,3,9,0,0,Herring,ActivityChange,,98af99b7-5c81-4b3d-a9f0-a9045f017b1d,2/16/2022 3:59:23 AM,Nicole.Hamre_UWA,2/16/2022 3:59:23 AM,Nicole.Hamre_UWA,,121.903007212821,-33.8697185886002
127,f5deb850-9c45-49ed-ba4f-68861d2d8004,Boat,2/16/2022 4:02:17 AM,Casting,Bait,10:30,11:30,4,2,0,0,Squid,Weather,,c8635b7e-4e76-41d2-bed4-b68425c230a5,2/16/2022 4:03:00 AM,Nicole.Hamre_UWA,2/16/2022 4:03:00 AM,Nicole.Hamre_UWA,,121.903876412809,-33.8676436681573
128,e9b77b44-583b-48dc-bdee-85a9594bac79,Boat,2/16/2022 4:06:19 AM,Trolling,Lure,08:00,09:30,50,1,1,0,Tuna blue fin,Explore,,ab378076-00c0-4bec-8d89-d9f675744197,2/16/2022 4:08:10 AM,Nicole.Hamre_UWA,2/16/2022 4:08:10 AM,Nicole.Hamre_UWA,,121.890040145781,-33.9243471037108
129,e9b77b44-583b-48dc-bdee-85a9594bac79,Boat,,Casting,Bait,10:30,11:30,14,12,0,0,"Mackerel, sand whiting ",ActivityChange,,ce4c2cb3-77e5-441b-8e25-16c8d428b04f,2/16/2022 4:09:37 AM,Nicole.Hamre_UWA,2/16/2022 4:09:37 AM,Nicole.Hamre_UWA,,121.8407692835,-33.8881645691295
130,777906ad-730b-4b2a-a042-20158febdb2a,Boat,2/16/2022 4:21:56 AM,Casting,Bait,07:45,12:00,17,30,12,0,Whiting ,Weather,,c2bc09b7-8d23-498c-811e-d61b2a13871d,2/16/2022 4:26:09 AM,Nicole.Hamre_UWA,2/16/2022 4:26:09 AM,Nicole.Hamre_UWA,,121.797286070763,-33.9043300807332
131,e2100749-6809-4183-8d75-b1eb2623cdc4,Boat,2/16/2022 4:53:40 AM,Casting,Bait,07:00,08:00,45,6,3,0,"Sea sweep, break sea cod",Explore,,5179a363-be1f-468e-abe9-6f51216b97c2,2/16/2022 4:56:02 AM,Nicole.Hamre_UWA,2/16/2022 4:56:02 AM,Nicole.Hamre_UWA,,121.951177360401,-34.1457098319384
132,e2100749-6809-4183-8d75-b1eb2623cdc4,Boat,2/16/2022 4:56:27 AM,Casting,Bait,08:30,12:00,50,6,8,0,"Break sea cod, nanniguie, swallowtail",ActivityChange,,55449ed6-c400-4f22-9a25-2a80f27fba42,2/16/2022 4:58:03 AM,Nicole.Hamre_UWA,2/16/2022 4:58:03 AM,Nicole.Hamre_UWA,,122.046211528493,-34.1489135521649
